=== Running 6 BPF experiments (Cubic Sensor + Stochastic Volatility) ===

========================================
[1/6] hmc/cubic_sensor/bpf_sys
========================================
Creating true model: src.models.cubic_sensor.CubicSensorModel
Generating 50 time steps with true params: {'sigma_V': 1.0, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771739646.544352 2186196 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running HMC inference...
Using HMC sampler (num_leapfrog_steps=5)
Running HMC: 100 burn-in + 200 sampling = 300 total steps
  [grad check] lp=-160.7081, |grad|=9.49333477487508, grad=[-8.8520786  -3.42988478]
  [sample 22/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9912, sigma_W=1.9486 | ETA 140s
  [sample 23/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9911, sigma_W=1.9490 | ETA 140s
  [sample 24/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9918, sigma_W=1.9500 | ETA 139s
  [sample 25/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9927, sigma_W=1.9497 | ETA 138s
  [sample 26/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9926, sigma_W=1.9502 | ETA 137s
  [sample 27/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9914, sigma_W=1.9498 | ETA 136s
  [sample 28/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9909, sigma_W=1.9493 | ETA 136s
  [sample 29/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9917, sigma_W=1.9495 | ETA 135s
  [sample 30/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9928, sigma_W=1.9498 | ETA 134s
  [sample 31/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9930, sigma_W=1.9502 | ETA 133s
  [sample 32/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9937, sigma_W=1.9502 | ETA 132s
  [sample 33/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9937, sigma_W=1.9502 | ETA 131s
  [sample 34/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9931, sigma_W=1.9495 | ETA 130s
  [sample 35/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9942, sigma_W=1.9495 | ETA 129s
  [sample 36/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9944, sigma_W=1.9497 | ETA 129s
  [sample 37/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9932, sigma_W=1.9497 | ETA 128s
  [sample 38/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9928, sigma_W=1.9498 | ETA 127s
  [sample 39/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9928, sigma_W=1.9498 | ETA 126s
  [sample 40/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9931, sigma_W=1.9494 | ETA 125s
  [sample 41/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9933, sigma_W=1.9496 | ETA 124s
  [sample 42/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9933, sigma_W=1.9496 | ETA 123s
  [sample 43/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9933, sigma_W=1.9491 | ETA 123s
  [sample 44/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9944, sigma_W=1.9487 | ETA 122s
  [sample 45/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9946, sigma_W=1.9487 | ETA 121s
  [sample 46/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9943, sigma_W=1.9488 | ETA 120s
  [sample 47/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9939, sigma_W=1.9489 | ETA 119s
  [sample 48/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9943, sigma_W=1.9488 | ETA 118s
